Week,TeamName,PlayerName,LineupPosition,Points
2,mlum20,AUSTIN EKELER,RB,20.00
2,mlum20,LADD MCCONKEY,WR,7.20
2,mlum20,JORDAN WHITTINGTON,WR,6.40
2,mlum20,CHIG OKONKWO,TE,6.20
2,mlum20,ADAM THIELEN,FLEX,6.00
2,mlum20,DYAMI BROWN,FLEX,5.40
2,mlum20,TYLER LOCKETT,FLEX,5.00
2,mlum20,CALVIN AUSTIN,FLEX,2.20
2,mlum20,CJ STROUD,SUPER_FLEX,31.80
2,connerstafford11,JALEN HURTS,QB,43.30
2,connerstafford11,JONATHAN TAYLOR,RB,32.00
2,connerstafford11,JOSH JACOBS,RB,29.20
2,connerstafford11,DK METCALF,WR,44.80
2,connerstafford11,DEEBO SAMUEL,WR,31.00
2,connerstafford11,DALLAS GOEDERT,TE,10.60
2,connerstafford11,JOSH REYNOLDS,FLEX,22.60
2,connerstafford11,JOE MIXON,FLEX,13.00
2,connerstafford11,DEMARCUS ROBINSON,FLEX,12.00
2,connerstafford11,GUS EDWARDS,FLEX,11.80
2,connerstafford11,JACOBY BRISSETT,SUPER_FLEX,22.10
3,tmjones212,JUSTIN FIELDS,QB,33.70
3,tmjones212,ZACH CHARBONNET,RB,41.40
3,tmjones212,BUCKY IRVING,RB,19.80
3,tmjones212,AMON RA ST BROWN,WR,29.00
3,tmjones212,KHALIL SHAKIR,WR,26.40
3,tmjones212,COLE KMET,TE,35.40
3,tmjones212,DRAKE LONDON,FLEX,25.40
3,tmjones212,DARNELL MOONEY,FLEX,21.20
3,tmjones212,WANDALE ROBINSON,FLEX,19.20
3,tmjones212,BIJAN ROBINSON,FLEX,18.40
3,tmjones212,DESHAUN WATSON,SUPER_FLEX,30.80
3,BaoDown,LAMAR JACKSON,QB,47.60
3,BaoDown,SAQUON BARKLEY,RB,52.20
3,BaoDown,ALVIN KAMARA,RB,31.40
3,BaoDown,JAMARR CHASE,WR,44.60
3,BaoDown,STEFON DIGGS,WR,30.10
3,BaoDown,THEO JOHNSON,TE,3.60
3,BaoDown,ZACK MOSS,FLEX,30.40
3,BaoDown,JAKOBI MEYERS,FLEX,27.40
3,BaoDown,BREECE HALL,FLEX,26.60
3,BaoDown,DEANDRE HOPKINS,FLEX,26.60
3,BaoDown,AARON RODGERS,SUPER_FLEX,43.70
3,EBao,DAK PRESCOTT,QB,60.30
3,EBao,KYREN WILLIAMS,RB,46.20
3,EBao,DEVIN SINGLETARY,RB,30.60
3,EBao,AMARI COOPER,WR,36.20
3,EBao,NICO COLLINS,WR,22.20
3,EBao,KYLE PITTS,TE,13.80
3,EBao,TRAVIS ETIENNE,FLEX,21.00
3,EBao,JAYDEN REED,FLEX,17.80
3,EBao,JALEN NAILOR,FLEX,15.80
3,EBao,RACHAAD WHITE,FLEX,13.00
3,EBao,JOE BURROW,SUPER_FLEX,54.20
3,Halteclere,JARED GOFF,QB,29.10
3,Halteclere,JAHMYR GIBBS,RB,29.60
3,Halteclere,NAJEE HARRIS,RB,22.20
3,Halteclere,ROME ODUNZE,WR,37.80
3,Halteclere,MALIK NABERS,WR,36.40
3,Halteclere,DALTON KINCAID,TE,17.20
3,Halteclere,MIKE WILSON,FLEX,20.80
3,Halteclere,TANK DELL,FLEX,18.40
3,Halteclere,GARRETT WILSON,FLEX,17.60
3,Halteclere,TYJAE SPEARS,FLEX,16.20
3,Halteclere,JUSTIN HERBERT,SUPER_FLEX,18.50
3,androooooo,BROCK PURDY,QB,51.40
3,androooooo,RICO DOWDLE,RB,14.20
3,androooooo,DANDRE SWIFT,RB,10.40
3,androooooo,TERRY MCLAURIN,WR,33.00
3,androooooo,CHRIS OLAVE,WR,30.20
3,androooooo,MIKE MAYER,TE,2.40
3,androooooo,CHRIS GODWIN,FLEX,22.60
3,androooooo,ANDREI IOSIVAS,FLEX,21.40
3,androooooo,COURTLAND SUTTON,FLEX,20.60
3,androooooo,JALEN TOLBERT,FLEX,17.40
3,androooooo,CALEB WILLIAMS,SUPER_FLEX,40.90
3,ShadyCommish88,JAYDEN DANIELS,QB,51.20
3,ShadyCommish88,CHUBA HUBBARD,RB,47.80
3,ShadyCommish88,JORDAN MASON,RB,19.60
3,ShadyCommish88,MARVIN HARRISON,WR,23.80
3,ShadyCommish88,DEMARIO DOUGLAS,WR,22.60
3,ShadyCommish88,BROCK BOWERS,TE,11.20
3,ShadyCommish88,AUSTIN EKELER,FLEX,19.40
3,ShadyCommish88,JEROME FORD,FLEX,17.00
3,ShadyCommish88,QUENTIN JOHNSTON,FLEX,16.80
3,ShadyCommish88,BRAELON ALLEN,FLEX,16.60
3,ShadyCommish88,GARDNER MINSHEW,SUPER_FLEX,28.20
3,emanueljd3,KIRK COUSINS,QB,24.80
3,emanueljd3,DERRICK HENRY,RB,50.80
3,emanueljd3,DAVID MONTGOMERY,RB,36.40
3,emanueljd3,JUSTIN JEFFERSON,WR,28.20
3,emanueljd3,DJ MOORE,WR,22.40
3,emanueljd3,JAKE FERGUSON,TE,25.00
3,emanueljd3,JAMES COOK,FLEX,27.40
3,emanueljd3,DAVANTE ADAMS,FLEX,13.00
3,emanueljd3,JUSTICE HILL,FLEX,12.80
3,emanueljd3,SAMAJE PERINE,FLEX,11.00
3,emanueljd3,BAKER MAYFIELD,SUPER_FLEX,18.30
3,lamjohnson56,ANDY DALTON,QB,52.50
3,lamjohnson56,AARON JONES,RB,43.60
3,lamjohnson56,ALEXANDER MATTISON,RB,17.80
3,lamjohnson56,JAUAN JENNINGS,WR,67.00
3,lamjohnson56,RASHEE RICE,WR,43.20
3,lamjohnson56,ZACH ERTZ,TE,12.60
3,lamjohnson56,DIONTAE JOHNSON,FLEX,41.40
3,lamjohnson56,DEVONTA SMITH,FLEX,22.80
3,lamjohnson56,CHASE BROWN,FLEX,15.80
3,lamjohnson56,JAYLEN WADDLE,FLEX,9.20
3,lamjohnson56,PATRICK MAHOMES,SUPER_FLEX,33.10
3,mlum20,DANIEL JONES,QB,39.60
3,mlum20,TYRONE TRACY,RB,10.00
3,mlum20,JALEEL MCLAUGHLIN,RB,9.80
3,mlum20,CALVIN AUSTIN,WR,29.00
3,mlum20,ADAM THIELEN,WR,17.00
3,mlum20,CHIG OKONKWO,TE,5.00
3,mlum20,LADD MCCONKEY,FLEX,11.80
3,mlum20,LUKE MCCAFFREY,FLEX,11.80
3,mlum20,JORDAN WHITTINGTON,FLEX,8.60
3,mlum20,JONATHAN MINGO,FLEX,7.00
3,mlum20,WILL LEVIS,SUPER_FLEX,28.40
3,connerstafford11,JOSH ALLEN,QB,59.10
3,connerstafford11,JONATHAN TAYLOR,RB,43.00
3,connerstafford11,EMANUEL WILSON,RB,25.00
3,connerstafford11,DK METCALF,WR,33.80
3,connerstafford11,CHRISTIAN KIRK,WR,23.80
3,connerstafford11,DALLAS GOEDERT,TE,48.00
3,connerstafford11,ROSCHON JOHNSON,FLEX,16.40
3,connerstafford11,JOSH JACOBS,FLEX,10.60
3,connerstafford11,GREG DORTCH,FLEX,10.00
3,connerstafford11,TRAVIS KELCE,FLEX,10.00
3,connerstafford11,JALEN HURTS,SUPER_FLEX,32.10
4,tmjones212,JUSTIN FIELDS,QB,59.20
4,tmjones212,BIJAN ROBINSON,RB,18.80
4,tmjones212,BUCKY IRVING,RB,18.00
4,tmjones212,BRIAN THOMAS,WR,31.80
4,tmjones212,JORDAN ADDISON,WR,30.80
4,tmjones212,PAT FREIERMUTH,TE,22.40
4,tmjones212,AMON RA ST BROWN,FLEX,27.70
4,tmjones212,XAVIER LEGETTE,FLEX,27.20
4,tmjones212,WANDALE ROBINSON,FLEX,25.20
4,tmjones212,XAVIER WORTHY,FLEX,23.60
